case,format,candidate,engine,original_bytes,output_bytes,output_ratio,saved_percent,bits_per_pixel,width,height,pixel_count,psnr_y,ssim_y,ssimulacra2,alpha_mae,rgba_mae,maximum_channel_error,wide_vertical_band_score,residual_correlation_max,low_frequency_residual_rms,low_frequency_residual_ratio,roi_count,roi_ssim_y_min,roi_wide_vertical_band_score_max,roi_residual_correlation_max,roi_low_frequency_residual_rms_max,wall_ms,tinypng_cached,source_sha256,output_sha256
967d5e485cb5.png,png,smaller,mediacompress,1723714,455057,0.2639979718213114,73.60020281786885,3.0562070169782936,752,1584,1191168,41.91163708294744,0.9846508140528687,72.59900632,0,2.0273422808537505,59,1.2637473187674049,0.23185652238269866,0.34150358806869724,0.23210725219612285,0,,,,,705.9035420097644,,b744ede737eb913fbbfd73b1e48672aa6125c08a6dcd2acb90eb1f3b8382710d,840ccbb6e8d46050339b953e4ac30e61a2caf77ea06a0765b93d55289194796b
967d5e485cb5.png,png,tinypng,tinypng,1723714,435170,0.25246067503077657,74.75393249692235,2.9226439931227164,752,1584,1191168,39.63897975450247,0.9772628831060604,67.66165688,0,1.892293110627552,41,2.0039539769407666,0.2678722868962499,0.5562965567655499,0.30403261138306287,0,,,,,0.09349999891128391,True,b744ede737eb913fbbfd73b1e48672aa6125c08a6dcd2acb90eb1f3b8382710d,ed47199fa80c96c811dc050f1260ee034e9780746178b9b0d0f337c923ad0b5f
96f08a9eedb2.png,png,smaller,mediacompress,1788107,480734,0.26885080143414236,73.11491985658576,1.4033468345192484,1125,2436,2740500,45.04847993254907,0.985406264432118,70.77055179,0,0.9672587119138844,101,1.2143895226579724,0.19942081228340974,0.23159301032900034,0.1809223040182329,0,,,,,1013.135000001057,,305605f656af301b1bbe33531f01f6235610bfa2d9ed5c99b54a6da48e8998e2,2143e3d2382a15ec51402e7305f03defef01a3dfd6daf15dfe0a33a8fe090cf7
96f08a9eedb2.png,png,tinypng,tinypng,1788107,484289,0.27083893749087723,72.91610625091226,1.413724502827951,1125,2436,2740500,43.15060127940468,0.9781035438421207,72.51521817,0,0.9278028644407955,61,3.3348235670120356,0.22059235675252317,0.4587412477225122,0.2900163488644474,0,,,,,0.08662499021738768,True,305605f656af301b1bbe33531f01f6235610bfa2d9ed5c99b54a6da48e8998e2,83ab6a689f40c023e372ea0d0ac6c49fd42b16d01b793a020fe5c55bcf886c93
9a1111157708.png,png,smaller,mediacompress,206358,204623,0.991592281375086,0.8407718624913962,1.3473119341563786,1125,1080,1215000,50.18374493698523,0.9978760333913909,77.88656879,0.10310699588477366,0.19185041152263374,58,0.7731094554344935,0.5715465561810743,0.17985530315313522,0.434870584203416,0,,,,,404.73933299654163,,2c3c758c59e9612540b7444564027e8e10f2ed4082c87b2f17bfc8b990d76a0a,00af260fd2ee96644a6d9a560e923745409541177bd91c6d40d8d49963f4a1a4
9a1111157708.png,png,tinypng,tinypng,206358,202874,0.9831167194874926,1.6883280512507426,1.3357958847736626,1125,1080,1215000,49.128474533134806,0.9957400577763679,76.34670389,0.09344197530864197,0.8029993827160494,255,0.8109668685171065,0.3748163530710375,0.2987716314285043,0.4518412011966084,0,,,,,0.08700000762473792,True,2c3c758c59e9612540b7444564027e8e10f2ed4082c87b2f17bfc8b990d76a0a,c6d44f3bb64bbbb5ac9adcaf4500ace689e1e24b0bed5bfaccfe045c522bd250
9f55aeadcc9a.png,png,smaller,mediacompress,554268,176026,0.3175828299667309,68.24171700332691,0.513850757161102,1125,2436,2740500,56.10981174632901,0.9996031326265173,83.76177446,0,0.10788514869549352,61,0.21269353240208366,0.11782899862033255,0.03788654321772198,0.21557677736062203,0,,,,,611.9488749973243,,2b76515c2a3c3f59c53cd85dcfaac2c438c40abcc58f8d170daf5e2ce9c2cb87,ba18020cca3a0edd16ae6080cf9e1f2a7a3fc2335880dabf451af6b3a1ed5ab7
9f55aeadcc9a.png,png,tinypng,tinypng,554268,180932,0.32643414377160507,67.35658562283949,0.5281722313446451,1125,2436,2740500,54.845046798003736,0.999459491837142,84.94471909,0,0.09060600255427842,39,0.2294998401458011,0.12124131221093012,0.05493439165712853,0.2502616174546632,0,,,,,0.08083299326244742,True,2b76515c2a3c3f59c53cd85dcfaac2c438c40abcc58f8d170daf5e2ce9c2cb87,29a62348e6bedb8ae5ab05b60ebb9ed1057ef79e3e44f664b5dbcf78d5b3bf26
a931027a99f1.png,png,smaller,mediacompress,6060391,1768194,0.2917623631874577,70.82376368125422,2.968840667311412,1504,3168,4764672,44.72818338064364,0.9889606515078099,73.54054601,0,1.4676767361950622,72,1.1732194284776452,0.21287542695558678,0.34496322174373467,0.2947542147399628,0,,,,,2144.2415839992464,,29e1f25208d638ca318011e25136894e3254ae3099d4280fc6ba8431fd362d03,94dd1450bda5b7b46a1d70b3e8614d6d2ad5c708ddc0d594ce20a4ff3de675fa
a931027a99f1.png,png,tinypng,tinypng,6060391,6060391,1.0,0.0,10.175543668063614,1504,3168,4764672,99,0.9999999999999922,100,0,0,0,0,0,0,0,0,,,,,0.08966700988821685,True,29e1f25208d638ca318011e25136894e3254ae3099d4280fc6ba8431fd362d03,29e1f25208d638ca318011e25136894e3254ae3099d4280fc6ba8431fd362d03
